dataset_id,n_rows,n_features,contamination,missing_fraction,max_feature_missing_fraction,outlier_count,inlier_count,mean_abs_correlation,distance_concentration_ratio
annthyroid,7200,6,0.07416666666666667,0.0,0.0,534,6666,0.25015874795926835,2.887769975528926
arrhythmia,452,274,0.14601769911504425,0.0,0.0,66,386,0.08905147137129484,2.446926933490151
breastw,683,9,0.34992679355783307,0.0,0.0,239,444,0.601939305572724,2.1978694491376496
cardio,1831,21,0.0961223375204806,0.0,0.0,176,1655,0.22060326816774525,2.728660220714608
cover,286048,10,0.009603283365029646,0.0,0.0,2747,283301,0.1931961071550298,2.234293609857839
glass,214,7,0.04205607476635514,0.0,0.0,9,205,0.28247233732516863,2.7008165517819593
http,567498,3,0.003896048972859816,0.0,0.0,2211,565287,0.055830974141960914,3.8607906067709896
ionosphere,351,32,0.358974358974359,0.0,0.0,126,225,0.2382655573077528,1.988226503181793
letter,1600,32,0.0625,0.0,0.0,100,1500,0.20169168533075296,1.583322560652711
lympho,148,18,0.04054054054054054,0.0,0.0,6,142,0.16809316169960326,2.4478040114092137
mammography,11183,6,0.023249575248144506,0.0,0.0,260,10923,0.2439725949596499,3.4667756436737998
mnist,7603,100,0.09206892016309351,0.0,0.0,700,6903,0.07612004084931356,0.9994031816052459
musk,3062,166,0.03167864141084259,0.0,0.0,97,2965,0.2931179029373913,1.415224080200478
optdigits,5216,64,0.028757668711656442,0.0,0.0,150,5066,0.1210313139134798,1.1473292529097947
pendigits,6870,16,0.022707423580786028,0.0,0.0,156,6714,0.26289656346580037,1.4304448781020214
pima,768,8,0.3489583333333333,0.0,0.0,268,500,0.1716567889709266,6.028187391608036
satellite,6435,36,0.3163947163947164,0.0,0.0,2036,4399,0.49580103823499183,2.8638083375791963
satimage-2,5803,36,0.0122350508357746,0.0,0.0,71,5732,0.6374245308174815,2.974767135478974
shuttle,49097,9,0.0715114976475141,0.0,0.0,3511,45586,0.17874557404141114,49.728942751848905
smtp,95156,3,0.0003152717642607928,0.0,0.0,30,95126,0.26501545290958295,3.2404637442363073
speech,3686,400,0.016549104720564298,0.0,0.0,61,3625,0.026983063809371557,0.559481944924894
thyroid,3772,6,0.024655355249204668,0.0,0.0,93,3679,0.2624414335193744,2.9682673601299316
vertebral,240,6,0.125,0.0,0.0,30,210,0.3866077765473313,6.823878962113162
vowels,1456,12,0.034340659340659344,0.0,0.0,50,1406,0.27418171540631386,1.7594229490659659
wbc,223,9,0.04484304932735426,0.0,0.0,10,213,0.41935157086868274,3.874242190811915
wine,129,13,0.07751937984496124,0.0,0.0,10,119,0.2648640077328296,4.388760174276293
wut/smile,1000,2,0.0,0.0,0.0,0,1000,0.006160336776376169,2.544732027214349
wut/circles,4000,2,0.0,0.0,0.0,0,4000,0.006149034475374298,2.051210634171103
wut/isolation,9000,2,0.0,0.0,0.0,0,9000,0.007329656978800756,1.987473934839689
wut/windows,2977,2,0.0,0.0,0.0,0,2977,0.02731815263588393,2.365903887489251
wut/x2,120,2,0.08333333333333333,0.0,0.0,10,110,0.5040439161275627,2.8022320869585755
sipu/compound,399,2,0.0,0.0,0.0,0,399,0.318324241929882,2.335292014597453
sipu/jain,373,2,0.0,0.0,0.0,0,373,0.44181753526732626,2.625305093596873
sipu/flame,240,2,0.05,0.0,0.0,12,228,0.0159115135368058,2.2883582033530065
sipu/spiral,312,2,0.0,0.0,0.0,0,312,0.0012384766672795128,2.309329999401927
fcps/lsun,400,2,0.0,0.0,0.0,0,400,0.09837844574927113,2.5461537109113896
graves/fuzzyx,1000,2,0.0,0.0,0.0,0,1000,0.007249342401882444,2.809163825751695
